n_places;milliseconds;milliseconds_n_at_once;valid_transitions
17;99.5485;80.4972;10
17;56.0799;55.9881;4
17;71.4699;71.3234;13
17;122.789;122.76;13
17;485.461;581.145;2
17;80.5813;104.49;8
17;70.5767;70.4169;16
17;100.322;67.7281;7
17;94.2003;93.7562;9
17;109.91;109.889;6
17;70.0925;70.0746;5
17;94.3775;99.2489;6
17;82.5045;82.5267;29
17;68.688;78.1346;6
17;66.1243;66.194;8
17;103.423;87.8671;12
17;85.4621;79.995;2
17;73.1784;73.142;13
17;89.3598;104.182;15
17;72.4576;89.1844;7
17;75.9879;75.4801;18
17;139.189;180.186;6
17;75.8752;79.7083;10
17;75.7147;75.569;9
17;95.4825;95.3279;14
17;194.235;319.273;4
18;80.0533;80.8562;27
18;73.6314;73.522;11
18;86.6851;87.3795;9
18;145.213;243.965;5
18;972.897;205.732;7
18;338.929;458.476;11
18;632.813;642.473;7
18;91.8166;95.9197;13
18;164.899;152.702;6
18;254.253;241.997;15
18;87.4725;89.5532;9
18;133.62;133.985;18
18;2113.77;12314.9;5
18;227.193;304.212;5
18;64.6855;64.6823;32
18;95.6194;235.309;9
18;81.5472;89.398;7
18;95.6736;98.3697;2
18;87.5957;90.6263;30
18;96.7035;72.8685;22
18;283.865;158.866;1
18;83.1627;82.9041;6
18;108.865;107.079;7
18;85.4684;85.4415;8
18;73.0579;66.9242;0
18;85.9954;80.2853;18
18;97.0597;107.03;13
18;85.015;93.824;11
18;79.8349;77.9627;5
18;75.048;75.0415;15
18;240.391;166.535;27
18;70.0482;67.2904;9
18;86.6061;86.592;10
18;82.5602;82.4896;0
18;109.647;106.702;11
18;227.593;196.898;4
18;74.8033;74.748;14
18;69.4177;106.518;0
18;119.692;132.335;4
18;59.9134;59.859;7
18;1830.34;6275.21;1
18;379.041;226.321;1
18;74.3194;69.5353;11
18;102.256;102.303;8
18;77.9767;86.8492;14
18;95.5122;88.1054;0
18;104.581;98.8143;22
18;70.1425;69.489;24
18;99.4444;98.5662;4
18;108.177;107.661;7
18;253.032;257.544;12
18;66.586;66.5675;9
18;94.5467;92.7236;8
18;102.953;96.5256;8
18;72.2753;73.0176;7
18;810.855;306.174;7
18;100.3;106.097;6
18;73.6281;74.6123;7
18;264.345;129.978;15
18;72.9882;72.9372;20
18;76.024;75.9901;16
18;1094.67;742.487;3
18;56.4628;56.3981;16
18;117.155;111.282;6
18;91.1682;109.934;6
18;96.1677;96.0398;22
18;83.2821;83.7686;7
18;96.1349;96.0437;17
18;99.6205;78.0168;4
18;88.7907;88.8923;3
18;74.5777;74.4594;10
18;84.8496;84.9376;9
18;91.9642;92.9081;40
18;179.437;129.726;24
18;79.5894;83.8832;21
18;71.9088;71.8316;18
18;70.51;70.5071;34
18;89.8557;89.7751;10
18;89.058;85.7922;9
18;59.3967;80.7076;2
18;78.2987;86.8233;18
18;106.874;110.802;15
18;253.545;206.669;11
18;86.3303;92.4059;22
18;76.9619;80.1095;18
18;66.4032;66.3385;10
18;138.855;138.834;5
18;75.7674;76.0809;9
18;157.502;94.9312;3
18;59.6761;59.6451;16
18;185.61;238.196;25
18;129.316;129.186;7
18;80.6019;80.542;28
18;79.9524;79.8721;24
18;81.9624;81.8904;8
18;83.7734;264.094;2
18;72.4811;73.3909;11
18;84.9629;84.7302;23
18;66.9391;64.8161;9
18;289.015;223.074;8
19;82.7863;84.1714;3
19;121.181;99.72;2
19;92.6201;180.116;3
19;74.5207;78.8522;0
19;74.3798;74.2324;9
19;70.9434;70.8914;3
19;80.0655;80.0682;8
19;74.7173;74.7221;8
19;79.2704;80.006;7
19;76.9499;86.0783;0
19;81.9266;81.8454;6
19;6872.95;454.806;3
19;384.156;687.533;9
19;81.1639;95.122;7
19;94.9732;161.577;3
19;220.135;211.586;17
19;73.1816;73.1921;22
19;157.113;197.798;12
19;79.8827;118.999;3
19;82.1804;68.121;10
19;74.8324;235.566;20
19;79.4128;79.2212;7
19;143.138;143.395;2
19;103.213;100.879;11
19;171.433;196.605;8
19;81.1574;81.0102;24
19;99.6474;129.23;11
19;3356.2;1694.19;6
19;74.497;75.4028;2
19;86.7266;85.8867;7
19;89.9874;79.6399;5
19;90.3212;113.586;8
19;80.4017;81.1317;35
19;88.2524;88.4258;27
19;94.8505;94.1791;11
19;90.276;113.705;16
19;73.6331;74.5001;27
19;107.515;107.281;18
19;122.349;108.238;12
19;81.1972;81.0873;5
19;167.179;105.976;11
19;75.3418;66.7871;23
19;433.463;430.053;5
19;96.7003;126.139;18
19;144.182;101.875;6
19;59.0982;59.1223;10
19;86.6428;127.584;5
19;239.495;1311.98;3
19;124.257;123.987;12
19;82.9514;85.1363;0
19;91.792;123.61;6
19;93.9545;93.2882;29
19;63.3886;63.3284;3
19;79.7213;82.3432;19
19;106.913;114.871;8
19;63.2492;63.1275;11
19;81.2159;83.8156;5
19;68.1225;68.0784;5
19;157.922;599.939;10
19;291.35;1063.98;9
19;80.8294;92.7598;22
19;266.951;202.648;11
19;560.455;183.849;9
19;107.664;89.8127;5
19;72.1901;72.1169;22
19;90.0168;89.9881;13
19;96.9466;97.003;17
19;105.055;104.957;4
19;77.2077;79.343;25
19;171.535;97.1264;1
19;79.9567;79.8372;23
19;144.577;110.641;8
19;88.8189;88.8809;14
19;79.0189;78.9059;23
19;81.4224;81.2598;14
19;92.2737;100.203;17
19;82.3282;87.0989;13
19;88.9512;85.9513;7
19;79.4983;84.5114;5
19;88.2969;66.4903;4
19;82.7913;82.7959;7
19;76.7188;76.592;15
19;76.8688;76.8155;4
19;170.13;86.6573;10
19;79.2098;78.7222;14
19;69.8255;69.8193;12
19;93.5621;92.4665;3
19;75.6983;75.7095;6
19;66.482;66.5651;4
19;79.1136;78.4001;0
19;72.8092;75.6454;5
19;131.088;287.483;15
19;80.7586;80.6467;2
19;63.4077;63.3099;15
19;65.6771;65.6273;5
19;91.0921;97.474;6
19;82.872;82.8137;17
19;94.6721;103.217;15
19;102.341;710.206;19
19;453.059;87.2539;11
20;74.4145;75.2659;21
20;92.6216;88.2845;6
20;78.5607;82.7174;11
20;80.054;80;13
20;480.416;762.054;13
20;99.1909;99.074;16
20;89.0546;96.8989;5
20;96.7519;76.6177;2
20;84.3884;84.3214;4
20;786.136;1121.01;6
20;337.136;501.408;12
20;87.4894;87.2065;11
20;105.18;105.19;13
20;94.567;94.9819;24
20;105.821;105.832;15
20;115.312;117.542;4
20;90.971;91.4957;27
20;2261.34;3805.48;15
20;118.101;132.043;29
20;70.9403;70.9253;10
20;104.456;100.281;7
20;419.203;292.02;2
20;77.5439;77.6348;24
20;111.69;110.914;10
20;101.766;102.076;13
20;132.327;210.241;15
20;79.3466;79.3835;9
20;120.456;137.433;6
20;81.2354;81.6983;14
20;76.1702;76.1355;16
20;76.6309;80.7747;2
20;78.8456;77.3949;8
20;84.399;84.2999;4
20;132.275;126.712;17
20;108.402;123.955;21
20;82.9733;82.8404;26
